transcription	normalisation	flag
ཀའི	ཀ་བའི	1
ཀསྱེགཀྲྯེར	ཀ་གསེག་ཀ་འདྲ་ཟེར	1
ཀྭརྩ	ཀ་རྩྭ	1
ཀྐིང་	ཀི་ཀང་	1
ཀིི་སོོ	ཀི་ཀི་སྭོ་སྭོ	1
ཀིི་སྭོོ	ཀི་ཀི་སྭོ་སྭོ	1
ཀུཾ༹ལ༹	ཀུ་མུད་ཚལ	1
ཀུཾད	ཀུ་མུད	1
ཀུ༹ན	ཀུ་ཙན་དན	1
ཀུནྱབ	ཀུན་ཁྱབ	1
ཀུནིཊ	ཀུན་གཟིགས	1
ཀིུགས	ཀུན་གཟིགས	1
ཀིུཊ	ཀུན་གཟིགས	1
ཀུནལ	ཀུན་གསལ	1
ཀུནི	ཀུན་གྱི	1
ཀུནྱིས	ཀུན་གྱིས	1
ཀུནྲུབ	ཀུན་གྲུབ	1
ཀུནགྲེ	ཀུན་འགྲེ	1
ཀུནྲོལ	ཀུན་གྲོལ	1
ཀུནུ	ཀུན་ཏུ	1
ཀུནུངོ་	ཀུན་ཏུ་བཟང་པོ	1
ཀོུནུང་	ཀུན་ཏུ་བཟང་པོ	1
ཀུནྟུཾ༹	ཀུན་ཏུ་བཟང་	1
ཀུནྟུང་	ཀུན་ཏུང་	1
ཀིུས	ཀུན་དཀྲིས	1
ཀུནའ	ཀུན་དགའ	1
ཀུནས་འབབ	ཀུན་ནས་འབབ	1
ཀུནས	ཀུན་ནས	1
ཀུནྶ	ཀུན་ནས	1
ཀུནོ	ཀུན་པོ	1
ཀུནྕེད	ཀུན་བཅད་དེ	1
ཀུནང་	ཀུན་བཟང་	1
ཀུནཟང་	ཀུན་བཟང་	1
ཀུཾ༹ན	ཀུན་བཟང་	1
ཀུནྯང་	ཀུན་བཟང་	1
ཀོུནང་	ཀུན་བཟང་པོ	1
ཀུན༹ང་	ཀུན་བཟང་	1
ངྐུན	ཀུན་བཟང་	1
ཀུནྡུང་	ཀུན་བརྡུངས	1
ཀུནྱཻནོ	ཀུན་མཁྱེན་ཆེན་པོ	1
ཀུནྱེན	ཀུན་མཁྱེན	1
ཀེུན	ཀུན་མཁྱེན	1
ཀུནོམས	ཀུན་འཇོམས	1
ཀོུ༹བ	ཀུན་རྫོབ	1
ཀོུབ	ཀུན་རྫོབ	1
ཀོུབ༹	ཀུན་རྫོབ	1
ཀེུས	ཀུན་ཤེས	1
ཀུནྱོད	ཀུན་སྤྱོད	1
ཀུནློགྱང་	ཀུན་ལོག་ཀྱང་	1
ཀུན་ཏུ	ཀུནུ	1
ཀུཾ་ཀུཾ	ཀུམ་ཀུམ	1
ཀཻམ	ཀེམ་ཀེམ	1
ཀེ༹ང་	ཀེའུ་ཚང་	1
ཀྷོཾ	ཀོ་ལྷམ	1
ཀཽང་	ཀོང་ཀོང་	1
ཀྱགོ	ཀྱག་ཀྱོག	1
ཀྱངང་	ཀྱང་ཡང་	1
ཀྱརོ	ཀྱར་ཀྱོར	1
ཀྱལོ	ཀྱལ་ཀྱོལ	1
ཀྱིཞི	ཀྱི་གཞི	1
ཀྱིལྟེ	ཀྱི་ལྟེ	1
ཀྱིསཟོསླག	ཀྱིས་བཟོས་སླག	1
ཀྱིནློདིགྯང་	ཀྱིན་སློད་ཅིག་བཟང་	1
ཀྱུྃ	ཀྱུ་མ	1
ཀྱཻ	ཀྱེ་ཀྱེ	1
ཀླཽ	ཀླ་ཀློ	1
ཀློ	ཀླ་ཀློ	0
ཀླེུན	ཀླུ་གཉེན	1
ཀླེུནད	ཀླུ་ཆེན་བརྒྱད	1
ཀླེུབས	ཀླུ་ཐེབས	1
ཀླུད	ཀླུ་བདུད	1
ཀློུག	ཀླུ་ཟློག	1
ཀློག	ཀླུ་ཟློག	0
ཀླུ་སྒྲུབྱི	ཀླུ་སྒྲུབ་ཀྱི	1
ཀླུ་སྒྲུབྱིས༹དའི	ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པའི	1
ཀླུ་སྒྲུབྱིས	ཀླུ་སྒྲུབ་ཀྱིས	1
ཀླུའིབོང་	ཀླུའི་དབང་བོ	1
ཁྒངྃ	ཁ་གང་མ	1
ཁསྱབ	ཁ་གསབ	1
ཁོདག	ཁ་དོག	1
ཁྡོག	ཁ་དོག	1
ཁྡྲང་	ཁ་དྲང་	1
ཁྲངས	ཁ་དྲངས	1
ཁ་འཆཾ་གྲོིག	ཁ་འཆམ་གྲོས་འགྲིག	1
ཁྮེང་	ཁ་ཞེང་	1
ཁླགྲོང་	ཁ་ལག་སྲོ་དང་	1
ཁླགྲོསིག	ཁ་ལག་སྲོས་ཤིག	1
ཁྶོ	ཁ་སོ	1
ཁྶོས	ཁ་སོས	1
ཁགི	ཁག་གི	1
ཁཾཉྱེར	ཁང་གཉེར	1
ཁངའི	ཁང་བའི	1
ཁམུ	ཁམ་ཁུམ	1
ཁཾ	ཁམ	1
ཁཾསི	ཁམས་ཀྱི	1
ཁཾསུཾ་སེཾན	ཁམས་གསུམ་སེམས་ཅན	1
ཁམསུཾ	ཁམས་གསུམ	1
ཁམསུམ	ཁམས་གསུམ	1
ཁཾསུཾ	ཁམས་གསུམ	1
ཁམུཾ	ཁམས་གསུམ	1
ཁམསེང་	ཁམས་གསེང་	1
ཁམསྣ	ཁམས་ན	1
ཁཾ༹ན	ཁམས་ཚན	1
ཁཾསྱུངནྱསྯེར	ཁམས་འབྱུང་གནས་ཟེར	1
ཁམསུ	ཁམས་སུ	1
ཁཾསུ	ཁམས་སུ	1
ཁཾས	ཁམས	1
ཁརེ	ཁར་ཁེར	1
ཁསླེན	ཁས་ལེན	1
ཁེུ	ཁུ་ལེ	1
ཁུགཉིད	ཁུག་གཉིད	1
ཁུརརྱེད	ཁུར་བྱེད	1
ཁོུ༹ས	ཁུར་ཚོས	1
ཁོུས༹	ཁུར་ཚོས	1
ཁེུན	ཁུར་ལེན	1
ཁེོལ	ཁེ་ཁོལ	1
ཁྱེུངས	ཁེངས་བསྐྱུངས	1
ཁེབསྟེ	ཁེབས་ཏེ	1
ཁེརེ	ཁེར་རེ	1
ཁཽ	ཁོ་བོ	1
ཁྦོ	ཁོ་བོ	1
ཁོགྲྟེན	ཁོག་རྟེན	1
ཁོགྶྟོང་	ཁོག་སྟོང་	1
ཁོངོྃ	ཁོང་སེང་མ	1
ཁོ༹ནི	ཁོན་འཛིན	1
ཁོཾ	ཁོམ	1
ཁོརུག	ཁོར་ཡུག	1
ཁོལོ	ཁོལ་པོ	1
ཁོལུ	ཁོལ་བུ	1
ཁོལོཾ	ཁོལ་མོ	1
