transcription	normalisation
༠	0
༡	1
༢	2
༣	3
༤	4
༥	5
༦	6
༧	7
༨	8
༩	9
<	(
>	)
(	(
)	)
「	'
」	'
『	\"
』	\"
﹁	'
﹂	'
[	[
]	]
【	[
】	]
གྶ་	གས་
བྶ་	བས་
ངྶ་	ངས་
མྶ་	མས་
ཌ།	གས།
ཊ།	གས།
ཀའི	ཀ་བའི
ཀསྱེགཀྲྯེར	ཀ་གསེག་ཀ་འདྲ་ཟེར
ཀྭརྩ	ཀ་རྩྭ
ཀྐིང༌	ཀི་ཀང༌
ཀིི་སོོ	ཀི་ཀི་སྭོ་སྭོ
ཀིི་སྭོོ	ཀི་ཀི་སྭོ་སྭོ
ཀུཾ༹ལ༹	ཀུ་མུད་ཚལ
ཀུཾད	ཀུ་མུད
ཀུ༹ན	ཀུ་ཙན་དན
ཀུནྱབ	ཀུན་ཁྱབ
ཀུནིཊ	ཀུན་གཟིགས
ཀིུགས	ཀུན་གཟིགས
ཀིུཊ	ཀུན་གཟིགས
ཀུནལ	ཀུན་གསལ
ཀུནི	ཀུན་གྱི
ཀུནྱིས	ཀུན་གྱིས
ཀུནྲུབ	ཀུན་གྲུབ
ཀུནགྲེ	ཀུན་འགྲེ
ཀུནྲོལ	ཀུན་གྲོལ
ཀུནུ	ཀུན་ཏུ
ཀུནུངོ༌	ཀུན་ཏུ་བཟང་པོ
ཀོུནུང	ཀུན་ཏུ་བཟང་པོ
ཀུནྟུཾ༹	ཀུན་ཏུ་བཟང
ཀུནྟུང༌	ཀུན་ཏུང༌
ཀིུས	ཀུན་དཀྲིས
ཀུནའ	ཀུན་དགའ
ཀུནས་འབབ	ཀུན་ནས་འབབ
ཀུནས	ཀུན་ནས
ཀུནྶ	ཀུན་ནས
ཀུནོ	ཀུན་པོ
ཀུནྕེད	ཀུན་བཅད་དེ
ཀུནང༌	ཀུན་བཟང༌
ཀུནཟང༌	ཀུན་བཟང༌
ཀུཾ༹ན	ཀུན་བཟང༌
ཀུནྯང	ཀུན་བཟང
ཀོུནང༌	ཀུན་བཟང་པོ
ཀུན༹ང	ཀུན་བཟང
ངྐུན	ཀུན་བཟང
ཀུནྡུང	ཀུན་བརྡུངས
ཀུནྱཻནོ	ཀུན་མཁྱེན་ཆེན་པོ
ཀུནྱེན	ཀུན་མཁྱེན
ཀེུན	ཀུན་མཁྱེན
ཀུནོམས	ཀུན་འཇོམས
ཀོུ༹བ	ཀུན་རྫོབ
ཀོུབ	ཀུན་རྫོབ
ཀོུབ༹	ཀུན་རྫོབ
ཀེུས	ཀུན་ཤེས
